,RetractionYear,Publisher,Count
229,2013,Massachusetts Medical Society,1
230,2013,Multidisciplinary Digital Publishing Institute (MDPI),1
231,2013,Rockefeller University Press,1
232,2013,Royal Society Publishing,1
233,2013,Scientific Research Publishing (SCIRP),1
234,2013,"Showa University, Showa Dental Society",1
235,2013,Swiss Association of Communication and Media Research,1
236,2013,Taylor and Francis - Dove Press,1
237,2013,The Japanese Circulation Society,1
238,2013,The Japanese Pharmacological Society,1
239,2013,The Japanese Society of Internal Medicine,1
240,2013,Thieme,1
241,2013,University of Karachi,1
242,2013,Wichtig Publishing,1
243,2013,Wiley-Blackwell,1
244,2014,Elsevier,101
245,2014,Wiley,60
246,2014,Springer,43
247,2014,Hindawi,33
248,2014,Taylor and Francis,31
249,2014,SAGE Publications,13
250,2014,American Society for Biochemistry and Molecular Biology (ASBMB),11
251,2014,PLoS,11
252,2014,Springer - Nature Publishing Group,10
253,2014,Wolters Kluwer,10
254,2014,IEEE: Institute of Electrical and Electronics Engineers,9
255,2014,American Association for the Advancement of Science (AAAS),8
256,2014,Nature Publishing Group,8
257,2014,American Chemical Society (ACS),7
258,2014,Oxford University Press,7
259,2014,National Academy of Sciences (NAS),6
260,2014,American Society of Civil Engineers,5
261,2014,BioMed Central (BMC),5
262,2014,Elsevier - Cell Press,4
263,2014,Royal Society of Chemistry (RSC),4
264,2014,AIP Publishing,3
265,2014,APS: American Physiological Society,3
266,2014,ASPET: American Society for Pharmacology and Experimental Therapeutics,3
267,2014,American Association for Cancer Research,3
268,2014,American Society of Hematology,3
269,2014,De Gruyter,3
270,2014,Frontiers,3
271,2014,Mary Ann Liebert,3
272,2014,Taylor and Francis - Dove Press,3
273,2014,The Pharmaceutical Society of Japan,3
274,2014,"Academic Publications, Ltd",2
275,2014,American Heart Association,2
276,2014,American Thoracic Society,2
277,2014,British Institute of Radiology,2
278,2014,Cambridge University Press,2
279,2014,Canadian Science Publishing,2
280,2014,Cayetano Heredia Peruvian University,2
281,2014,EMBO Press,2
282,2014,MDPI,2
283,2014,Multidisciplinary Digital Publishing Institute (MDPI),2
284,2014,Open Journal Systems,2
285,2014,Oxford Academic,2
286,2014,University of Kansas,2
287,2014,Wolters Kluwer - Medknow,2
288,2014,Academic Journals,1
289,2014,Academic and Business Research Institute (AABRI),1
290,2014,American Diabetes Association,1
291,2014,American Institute of Physics (AIP Publishing),1
292,2014,American Marketing Association,1
293,2014,American Physical Society,1
294,2014,American Society of Nephrology,1
295,2014,BMJ Publishing,1
296,2014,BioOne Complete,1
297,2014,Blackwell Publishing,1
298,2014,Cureus (Part of Springer Nature as of December 2022),1
299,2014,Ewha Womans University College of Medicine,1
300,2014,FUNPEC-RP,1
301,2014,Future Medicine - Future Science Group,1
302,2014,IOP Publishing,1
303,2014,Informa Healthcare,1
304,2014,JCDR Research and Publications Limited,1
305,2014,Japan Poultry Science Association,1
306,2014,Japanese Society of Veterinary Science,1
307,2014,Korean Federation of Science and Technology Societies (KOFST),1
308,2014,Korean Journal Publishing,1
309,2014,Korean Oncology Nursing Society,1
310,2014,Korean Orthopaedic Association,1
311,2014,Korean Society for Biochemistry and Molecular Biology,1
312,2014,Korean Society of Cancer Prevention,1
313,2014,Korean Society of Nursing Science,1
314,2014,Korean Society of Obstetrics and Gynecology,1
315,2014,Nanjing Medical University Press,1
316,2014,PAGEPress,1
317,2014,Pensoft,1
318,2014,Portland Press,1
319,2014,Royal Society Publishing,1
320,2014,Scientific Research Publishing (SCIRP),1
321,2014,Sociedade Brasileira de Química,1
322,2014,Society for Free Radical Research Japan,1
323,2014,Society for Neuroscience,1
324,2014,Spandidos,1
325,2014,"The Institute of Electronics, Information and Communication Engineers",1
326,2014,The Japanese Pharmacological Society,1
327,2014,The Japanese Society on Thrombosis and Hemostasis,1
328,2014,UNICAMP,1
329,2014,University of Western Australia,1
330,2014,World Scientific Publishing Company,1
331,2015,Elsevier,134
332,2015,Springer,127
333,2015,Wiley,119
